                    ************************************************************************************************
                    *  Z= 31 A= 67: Positive-Parity Spin-dependent Level Density [MeV-1] for Ga 67 and ldmodel= 2  *
   4.25  0.703  3.39E+02 1.73E+02 1.31E+03 1.42E+01 2.49E+01 3.02E+01 2.98E+01 2.54E+01 1.90E+01 1.27E+01 7.63E+00 4.14E+00 2.04E+00 9.12E-01 3.71E-01 1.38E-01 4.66E-02 1.44E-02 4.07E-03 1.05E-03 2.49E-04 5.37E-05 1.06E-05 1.93E-06 3.20E-07 4.86E-08 6.76E-09 8.63E-10 1.01E-10 1.08E-11 1.06E-12 9.55E-14 7.88E-15
   4.50  0.724  4.52E+02 2.25E+02 1.73E+03 1.81E+01 3.20E+01 3.89E+01 3.86E+01 3.31E+01 2.50E+01 1.69E+01 1.03E+01 5.69E+00 2.85E+00 1.30E+00 5.40E-01 2.05E-01 7.11E-02 2.26E-02 6.56E-03 1.75E-03 4.26E-04 9.53E-05 1.95E-05 3.67E-06 6.34E-07 1.00E-07 1.46E-08 1.95E-09 2.38E-10 2.68E-11 2.77E-12 2.62E-13 2.28E-14
   4.75  0.744  5.98E+02 2.92E+02 2.26E+03 2.30E+01 4.07E+01 4.97E+01 4.97E+01 4.30E+01 3.28E+01 2.24E+01 1.39E+01 7.75E+00 3.95E+00 1.83E+00 7.77E-01 3.02E-01 1.07E-01 3.49E-02 1.04E-02 2.85E-03 7.18E-04 1.66E-04 3.52E-05 6.86E-06 1.23E-06 2.02E-07 3.06E-08 4.26E-09 5.46E-10 6.43E-11 6.97E-12 6.94E-13 6.37E-14
   5.00  0.763  7.86E+02 3.77E+02 2.95E+03 2.91E+01 5.16E+01 6.33E+01 6.37E+01 5.54E+01 4.27E+01 2.95E+01 1.85E+01 1.05E+01 5.42E+00 2.56E+00 1.11E+00 4.39E-01 1.60E-01 5.32E-02 1.63E-02 4.59E-03 1.19E-03 2.83E-04 6.21E-05 1.25E-05 2.33E-06 3.98E-07 6.27E-08 9.09E-09 1.21E-09 1.50E-10 1.70E-11 1.77E-12 1.71E-13
   5.50  0.800  1.40E+03 6.17E+02 4.95E+03 4.59E+01 8.17E+01 1.01E+02 1.03E+02 9.07E+01 7.11E+01 5.02E+01 3.21E+01 1.87E+01 9.99E+00 4.88E+00 2.19E+00 9.02E-01 3.42E-01 1.19E-01 3.84E-02 1.14E-02 3.12E-03 7.88E-04 1.84E-04 3.95E-05 7.86E-06 1.44E-06 2.45E-07 3.83E-08 5.55E-09 7.43E-10 9.19E-11 1.05E-11 1.11E-12
   6.00  0.836  2.39E+03 9.92E+02 8.13E+03 7.11E+01 1.27E+02 1.58E+02 1.63E+02 1.46E+02 1.16E+02 8.34E+01 5.46E+01 3.26E+01 1.79E+01 9.01E+00 4.18E+00 1.79E+00 7.04E-01 2.57E-01 8.64E-02 2.69E-02 7.74E-03 2.06E-03 5.09E-04 1.16E-04 2.46E-05 4.83E-06 8.77E-07 1.48E-07 2.30E-08 3.33E-09 4.46E-10 5.55E-11 6.39E-12
   6.50  0.870  3.96E+03 1.57E+03 1.31E+04 1.09E+02 1.95E+02 2.44E+02 2.54E+02 2.30E+02 1.86E+02 1.36E+02 9.07E+01 5.55E+01 3.12E+01 1.62E+01 7.74E+00 3.42E+00 1.40E+00 5.30E-01 1.86E-01 6.06E-02 1.83E-02 5.13E-03 1.33E-03 3.22E-04 7.22E-05 1.51E-05 2.91E-06 5.24E-07 8.76E-08 1.36E-08 1.96E-09 2.64E-10 3.29E-11
   7.00  0.903  6.41E+03 2.45E+03 2.09E+04 1.63E+02 2.95E+02 3.72E+02 3.89E+02 3.56E+02 2.92E+02 2.17E+02 1.48E+02 9.25E+01 5.32E+01 2.83E+01 1.39E+01 6.36E+00 2.69E+00 1.06E+00 3.86E-01 1.31E-01 4.14E-02 1.21E-02 3.32E-03 8.44E-04 2.00E-04 4.40E-05 9.04E-06 1.73E-06 3.08E-07 5.12E-08 7.92E-09 1.14E-09 1.54E-10
   7.50  0.934  1.02E+04 3.76E+03 3.27E+04 2.43E+02 4.40E+02 5.58E+02 5.89E+02 5.45E+02 4.53E+02 3.42E+02 2.37E+02 1.51E+02 8.90E+01 4.85E+01 2.45E+01 1.15E+01 5.04E+00 2.05E+00 7.75E-01 2.73E-01 8.99E-02 2.76E-02 7.88E-03 2.10E-03 5.23E-04 1.22E-04 2.64E-05 5.35E-06 1.01E-06 1.79E-07 2.95E-08 4.55E-09 6.55E-10
   8.00  0.965  1.59E+04 5.72E+03 5.07E+04 3.58E+02 6.50E+02 8.29E+02 8.82E+02 8.24E+02 6.93E+02 5.31E+02 3.74E+02 2.43E+02 1.46E+02 8.14E+01 4.22E+01 2.04E+01 9.18E+00 3.85E+00 1.51E+00 5.52E-01 1.88E-01 6.02E-02 1.80E-02 5.01E-03 1.31E-03 3.19E-04 7.29E-05 1.56E-05 3.12E-06 5.84E-07 1.02E-07 1.68E-08 2.58E-09
   8.50  0.995  2.45E+04 8.59E+03 7.75E+04 5.21E+02 9.49E+02 1.22E+03 1.30E+03 1.23E+03 1.05E+03 8.12E+02 5.81E+02 3.84E+02 2.35E+02 1.34E+02 7.12E+01 3.53E+01 1.63E+01 7.06E+00 2.85E+00 1.08E+00 3.82E-01 1.27E-01 3.94E-02 1.15E-02 3.13E-03 7.99E-04 1.92E-04 4.31E-05 9.08E-06 1.79E-06 3.33E-07 5.79E-08 9.45E-09
   9.00  1.024  3.73E+04 1.28E+04 1.17E+05 7.52E+02 1.37E+03 1.77E+03 1.91E+03 1.82E+03 1.56E+03 1.23E+03 8.90E+02 5.98E+02 3.73E+02 2.17E+02 1.18E+02 5.99E+01 2.84E+01 1.26E+01 5.26E+00 2.06E+00 7.53E-01 2.59E-01 8.34E-02 2.53E-02 7.18E-03 1.92E-03 4.81E-04 1.13E-04 2.51E-05 5.22E-06 1.02E-06 1.88E-07 3.24E-08
   9.50  1.052  5.61E+04 1.88E+04 1.76E+05 1.08E+03 1.97E+03 2.55E+03 2.77E+03 2.65E+03 2.30E+03 1.83E+03 1.35E+03 9.20E+02 5.84E+02 3.46E+02 1.92E+02 9.97E+01 4.85E+01 2.21E+01 9.48E+00 3.82E+00 1.44E+00 5.13E-01 1.71E-01 5.38E-02 1.59E-02 4.42E-03 1.16E-03 2.85E-04 6.61E-05 1.44E-05 2.97E-06 5.74E-07 1.05E-07
  10.00  1.079  8.36E+04 2.75E+04 2.61E+05 1.53E+03 2.80E+03 3.64E+03 3.98E+03 3.85E+03 3.37E+03 2.71E+03 2.02E+03 1.40E+03 9.02E+02 5.44E+02 3.08E+02 1.63E+02 8.13E+01 3.80E+01 1.67E+01 6.92E+00 2.70E+00 9.89E-01 3.41E-01 1.11E-01 3.41E-02 9.84E-03 2.68E-03 6.89E-04 1.67E-04 3.81E-05 8.21E-06 1.67E-06 3.20E-07
  11.00  1.132  1.98E+05 5.72E+04 5.60E+05 3.01E+03 5.55E+03 7.27E+03 8.02E+03 7.86E+03 7.01E+03 5.76E+03 4.39E+03 3.12E+03 2.07E+03 1.29E+03 7.59E+02 4.18E+02 2.17E+02 1.06E+02 4.91E+01 2.14E+01 8.80E+00 3.42E+00 1.26E+00 4.36E-01 1.43E-01 4.43E-02 1.30E-02 3.60E-03 9.45E-04 2.35E-04 5.51E-05 1.22E-05 2.57E-06
  12.00  1.182  4.30E+05 1.16E+05 1.16E+06 5.85E+03 1.08E+04 1.43E+04 1.59E+04 1.57E+04 1.42E+04 1.18E+04 9.19E+03 6.66E+03 4.53E+03 2.90E+03 1.74E+03 9.91E+02 5.31E+02 2.69E+02 1.29E+02 5.84E+01 2.50E+01 1.02E+01 3.91E+00 1.42E+00 4.91E-01 1.60E-01 4.97E-02 1.46E-02 4.07E-03 1.07E-03 2.69E-04 6.39E-05 1.44E-05
  13.00  1.230  8.90E+05 2.30E+05 2.36E+06 1.12E+04 2.07E+04 2.74E+04 3.07E+04 3.07E+04 2.80E+04 2.37E+04 1.86E+04 1.37E+04 9.53E+03 6.22E+03 3.83E+03 2.23E+03 1.23E+03 6.40E+02 3.16E+02 1.48E+02 6.56E+01 2.76E+01 1.10E+01 4.18E+00 1.50E+00 5.14E-01 1.67E-01 5.14E-02 1.51E-02 4.19E-03 1.11E-03 2.78E-04 6.64E-05
  14.00  1.277  1.78E+06 4.46E+05 4.66E+06 2.09E+04 3.88E+04 5.16E+04 5.82E+04 5.87E+04 5.41E+04 4.62E+04 3.68E+04 2.76E+04 1.94E+04 1.29E+04 8.12E+03 4.83E+03 2.72E+03 1.46E+03 7.38E+02 3.56E+02 1.63E+02 7.07E+01 2.92E+01 1.15E+01 4.29E+00 1.53E+00 5.16E-01 1.66E-01 5.08E-02 1.48E-02 4.11E-03 1.09E-03 2.73E-04
  15.00  1.321  3.47E+06 8.45E+05 9.00E+06 3.83E+04 7.15E+04 9.54E+04 1.08E+05 1.10E+05 1.02E+05 8.81E+04 7.11E+04 5.39E+04 3.86E+04 2.61E+04 1.67E+04 1.01E+04 5.83E+03 3.19E+03 1.66E+03 8.19E+02 3.85E+02 1.72E+02 7.35E+01 2.98E+01 1.15E+01 4.24E+00 1.49E+00 4.98E-01 1.59E-01 4.82E-02 1.40E-02 3.86E-03 1.02E-03
  16.00  1.365  6.62E+06 1.57E+06 1.70E+07 6.92E+04 1.29E+05 1.73E+05 1.98E+05 2.02E+05 1.89E+05 1.65E+05 1.34E+05 1.03E+05 7.48E+04 5.13E+04 3.34E+04 2.06E+04 1.21E+04 6.75E+03 3.59E+03 1.82E+03 8.76E+02 4.02E+02 1.76E+02 7.37E+01 2.94E+01 1.12E+01 4.05E+00 1.40E+00 4.64E-01 1.46E-01 4.41E-02 1.27E-02 3.48E-03
  17.00  1.407  1.24E+07 2.88E+06 3.17E+07 1.23E+05 2.31E+05 3.10E+05 3.55E+05 3.64E+05 3.44E+05 3.02E+05 2.49E+05 1.93E+05 1.42E+05 9.86E+04 6.51E+04 4.09E+04 2.44E+04 1.39E+04 7.53E+03 3.90E+03 1.92E+03 9.05E+02 4.06E+02 1.74E+02 7.15E+01 2.80E+01 1.05E+01 3.74E+00 1.28E+00 4.18E-01 1.30E-01 3.89E-02 1.11E-02
  18.00  1.448  2.28E+07 5.19E+06 5.80E+07 2.16E+05 4.05E+05 5.46E+05 6.28E+05 6.48E+05 6.16E+05 5.45E+05 4.53E+05 3.55E+05 2.64E+05 1.86E+05 1.24E+05 7.93E+04 4.81E+04 2.78E+04 1.54E+04 8.11E+03 4.08E+03 1.97E+03 9.04E+02 3.97E+02 1.67E+02 6.72E+01 2.59E+01 9.51E+00 3.35E+00 1.13E+00 3.64E-01 1.13E-01 3.33E-02
  19.00  1.487  4.12E+07 9.22E+06 1.04E+08 3.74E+05 7.03E+05 9.50E+05 1.10E+06 1.14E+06 1.09E+06 9.69E+05 8.12E+05 6.43E+05 4.82E+05 3.44E+05 2.33E+05 1.50E+05 9.27E+04 5.45E+04 3.06E+04 1.64E+04 8.44E+03 4.14E+03 1.95E+03 8.76E+02 3.77E+02 1.55E+02 6.13E+01 2.32E+01 8.40E+00 2.91E+00 9.69E-01 3.09E-01 9.42E-02
  20.00  1.526  7.35E+07 1.62E+07 1.86E+08 6.39E+05 1.20E+06 1.63E+06 1.89E+06 1.97E+06 1.89E+06 1.70E+06 1.43E+06 1.15E+06 8.67E+05 6.25E+05 4.28E+05 2.80E+05 1.75E+05 1.04E+05 5.96E+04 3.25E+04 1.70E+04 8.51E+03 4.08E+03 1.87E+03 8.24E+02 3.47E+02 1.40E+02 5.44E+01 2.02E+01 7.21E+00 2.46E+00 8.08E-01 2.54E-01
  22.50  1.618  3.85E+08 6.24E+07 7.39E+08 2.33E+06 4.41E+06 6.01E+06 7.01E+06 7.38E+06 7.18E+06 6.54E+06 5.62E+06 4.57E+06 3.54E+06 2.61E+06 1.83E+06 1.23E+06 7.94E+05 4.90E+05 2.89E+05 1.64E+05 8.90E+04 4.64E+04 2.32E+04 1.12E+04 5.16E+03 2.29E+03 9.74E+02 3.99E+02 1.57E+02 5.93E+01 2.16E+01 7.54E+00 2.53E+00
  25.00  1.706  1.51E+09 2.25E+08 2.74E+09 8.02E+06 1.52E+07 2.08E+07 2.44E+07 2.60E+07 2.55E+07 2.35E+07 2.05E+07 1.69E+07 1.33E+07 1.00E+07 7.22E+06 4.97E+06 3.28E+06 2.08E+06 1.27E+06 7.40E+05 4.16E+05 2.24E+05 1.17E+05 5.83E+04 2.80E+04 1.30E+04 5.77E+03 2.48E+03 1.02E+03 4.07E+02 1.56E+02 5.74E+01 2.04E+01
  30.00  1.869  2.65E+10 2.50E+09 3.20E+10 8.16E+07 1.55E+08 2.14E+08 2.55E+08 2.74E+08 2.74E+08 2.58E+08 2.30E+08 1.95E+08 1.58E+08 1.23E+08 9.15E+07 6.55E+07 4.51E+07 2.99E+07 1.90E+07 1.17E+07 6.94E+06 3.97E+06 2.19E+06 1.16E+06 5.98E+05 2.96E+05 1.42E+05 6.56E+04 2.93E+04 1.26E+04 5.26E+03 2.12E+03 8.24E+02
  40.00  2.158  3.81E+12 1.89E+11 2.61E+12 5.38E+09 1.03E+10 1.44E+10 1.73E+10 1.90E+10 1.95E+10 1.89E+10 1.74E+10 1.53E+10 1.29E+10 1.05E+10 8.22E+09 6.21E+09 4.53E+09 3.20E+09 2.18E+09 1.44E+09 9.21E+08 5.70E+08 3.42E+08 1.99E+08 1.12E+08 6.13E+07 3.25E+07 1.67E+07 8.32E+06 4.03E+06 1.89E+06 8.60E+05 3.80E+05
  50.00  2.413  1.84E+14 8.99E+12 1.31E+14 2.29E+11 4.42E+11 6.21E+11 7.56E+11 8.41E+11 8.76E+11 8.64E+11 8.13E+11 7.34E+11 6.38E+11 5.35E+11 4.34E+11 3.40E+11 2.58E+11 1.90E+11 1.36E+11 9.43E+10 6.35E+10 4.16E+10 2.64E+10 1.63E+10 9.81E+09 5.73E+09 3.26E+09 1.80E+09 9.69E+08 5.07E+08 2.58E+08 1.28E+08 6.18E+07
  60.00  2.643  6.28E+15 3.05E+14 4.67E+15 7.13E+12 1.38E+13 1.95E+13 2.39E+13 2.68E+13 2.83E+13 2.83E+13 2.71E+13 2.49E+13 2.21E+13 1.90E+13 1.58E+13 1.27E+13 9.95E+12 7.57E+12 5.60E+12 4.03E+12 2.82E+12 1.92E+12 1.28E+12 8.25E+11 5.20E+11 3.19E+11 1.91E+11 1.12E+11 6.35E+10 3.52E+10 1.91E+10 1.01E+10 5.19E+09
  70.00  2.855  1.66E+17 7.99E+15 1.27E+17 1.73E+14 3.35E+14 4.76E+14 5.87E+14 6.65E+14 7.08E+14 7.16E+14 6.94E+14 6.48E+14 5.85E+14 5.11E+14 4.33E+14 3.57E+14 2.86E+14 2.23E+14 1.69E+14 1.25E+14 9.04E+13 6.36E+13 4.37E+13 2.93E+13 1.91E+13 1.22E+13 7.62E+12 4.64E+12 2.76E+12 1.60E+12 9.10E+11 5.05E+11 2.74E+11
  80.00  3.052  3.56E+18 1.70E+17 2.80E+18 3.45E+15 6.69E+15 9.53E+15 1.18E+16 1.35E+16 1.44E+16 1.48E+16 1.45E+16 1.37E+16 1.25E+16 1.11E+16 9.54E+15 8.00E+15 6.53E+15 5.19E+15 4.03E+15 3.05E+15 2.26E+15 1.63E+15 1.15E+15 7.93E+14 5.34E+14 3.52E+14 2.27E+14 1.43E+14 8.81E+13 5.31E+13 3.13E+13 1.81E+13 1.02E+13
  90.00  3.237  6.44E+19 3.04E+18 5.17E+19 5.83E+16 1.13E+17 1.62E+17 2.02E+17 2.31E+17 2.49E+17 2.56E+17 2.53E+17 2.42E+17 2.24E+17 2.01E+17 1.75E+17 1.49E+17 1.24E+17 1.00E+17 7.90E+16 6.10E+16 4.60E+16 3.39E+16 2.45E+16 1.73E+16 1.19E+16 8.08E+15 5.35E+15 3.47E+15 2.20E+15 1.37E+15 8.33E+14 4.97E+14 2.90E+14
 100.00  3.412  1.01E+21 4.71E+19 8.22E+20 8.57E+17 1.67E+18 2.39E+18 2.99E+18 3.44E+18 3.73E+18 3.86E+18 3.84E+18 3.70E+18 3.45E+18 3.13E+18 2.76E+18 2.38E+18 2.00E+18 1.64E+18 1.32E+18 1.03E+18 7.93E+17 5.95E+17 4.38E+17 3.16E+17 2.23E+17 1.54E+17 1.04E+17 6.92E+16 4.51E+16 2.88E+16 1.80E+16 1.10E+16 6.64E+15
 110.00  3.579  1.39E+22 6.43E+20 1.15E+22 1.12E+19 2.18E+19 3.12E+19 3.92E+19 4.53E+19 4.93E+19 5.13E+19 5.14E+19 4.99E+19 4.69E+19 4.29E+19 3.83E+19 3.33E+19 2.83E+19 2.35E+19 1.91E+19 1.52E+19 1.18E+19 9.04E+18 6.76E+18 4.96E+18 3.56E+18 2.51E+18 1.73E+18 1.18E+18 7.82E+17 5.10E+17 3.27E+17 2.05E+17 1.27E+17
 120.00  3.738  1.71E+23 7.87E+21 1.44E+23 1.31E+20 2.56E+20 3.68E+20 4.62E+20 5.36E+20 5.86E+20 6.13E+20 6.18E+20 6.03E+20 5.71E+20 5.26E+20 4.73E+20 4.16E+20 3.57E+20 3.00E+20 2.46E+20 1.99E+20 1.57E+20 1.21E+20 9.19E+19 6.84E+19 5.00E+19 3.58E+19 2.52E+19 1.74E+19 1.18E+19 7.84E+18 5.12E+18 3.29E+18 2.07E+18
 130.00  3.890  1.92E+24 8.76E+22 1.64E+24 1.40E+21 2.74E+21 3.94E+21 4.97E+21 5.78E+21 6.34E+21 6.66E+21 6.75E+21 6.62E+21 6.31E+21 5.85E+21 5.30E+21 4.70E+21 4.07E+21 3.45E+21 2.86E+21 2.33E+21 1.86E+21 1.46E+21 1.12E+21 8.45E+20 6.26E+20 4.55E+20 3.25E+20 2.28E+20 1.57E+20 1.06E+20 7.07E+19 4.62E+19 2.97E+19
 140.00  4.037  1.98E+25 8.94E+23 1.70E+25 1.38E+22 2.70E+22 3.89E+22 4.91E+22 5.72E+22 6.31E+22 6.65E+22 6.76E+22 6.66E+22 6.39E+22 5.97E+22 5.44E+22 4.85E+22 4.24E+22 3.62E+22 3.04E+22 2.50E+22 2.01E+22 1.59E+22 1.24E+22 9.45E+21 7.09E+21 5.22E+21 3.78E+21 2.69E+21 1.88E+21 1.29E+21 8.74E+20 5.81E+20 3.80E+20
 150.00  4.179  1.89E+26 8.44E+24 1.64E+26 1.26E+23 2.46E+23 3.56E+23 4.50E+23 5.26E+23 5.81E+23 6.15E+23 6.28E+23 6.22E+23 5.99E+23 5.62E+23 5.16E+23 4.63E+23 4.07E+23 3.51E+23 2.96E+23 2.46E+23 2.00E+23 1.60E+23 1.26E+23 9.69E+22 7.34E+22 5.47E+22 4.01E+22 2.89E+22 2.05E+22 1.43E+22 9.80E+21 6.61E+21 4.39E+21
 160.00  4.316  1.68E+27 7.44E+25 1.47E+27 1.08E+24 2.10E+24 3.04E+24 3.86E+24 4.52E+24 5.00E+24 5.31E+24 5.44E+24 5.41E+24 5.23E+24 4.94E+24 4.56E+24 4.12E+24 3.64E+24 3.16E+24 2.69E+24 2.25E+24 1.84E+24 1.49E+24 1.18E+24 9.18E+23 7.03E+23 5.30E+23 3.92E+23 2.86E+23 2.05E+23 1.45E+23 1.01E+23 6.89E+22 4.64E+22
