                    ************************************************************************************************
                    *  Z= 41 A= 94: Positive-Parity Spin-dependent Level Density [MeV-1] for Nb 94 and ldmodel= 1  *
   2.25  0.426  1.37E+02 8.43E+01 7.19E+02 3.60E+00 9.90E+00 1.39E+01 1.50E+01 1.37E+01 1.08E+01 7.63E+00 4.81E+00 2.73E+00 1.40E+00 6.55E-01 2.77E-01 1.07E-01 3.76E-02 1.21E-02 3.53E-03 9.45E-04 2.31E-04 5.16E-05 1.06E-05 1.97E-06 3.38E-07 5.29E-08 7.58E-09 9.96E-10 1.20E-10 1.32E-11 1.33E-12 1.23E-13 1.04E-14
   2.50  0.449  1.97E+02 1.19E+02 1.04E+03 4.83E+00 1.34E+01 1.89E+01 2.07E+01 1.92E+01 1.56E+01 1.13E+01 7.32E+00 4.31E+00 2.31E+00 1.12E+00 5.01E-01 2.04E-01 7.60E-02 2.59E-02 8.12E-03 2.33E-03 6.16E-04 1.49E-04 3.32E-05 6.79E-06 1.28E-06 2.21E-07 3.51E-08 5.13E-09 6.90E-10 8.54E-11 9.72E-12 1.02E-12 9.82E-14
   2.75  0.471  2.81E+02 1.69E+02 1.52E+03 6.50E+00 1.80E+01 2.57E+01 2.85E+01 2.69E+01 2.23E+01 1.65E+01 1.10E+01 6.71E+00 3.72E+00 1.89E+00 8.80E-01 3.76E-01 1.48E-01 5.34E-02 1.78E-02 5.44E-03 1.54E-03 4.01E-04 9.63E-05 2.14E-05 4.37E-06 8.26E-07 1.44E-07 2.32E-08 3.45E-09 4.75E-10 6.03E-11 7.07E-12 7.66E-13
   3.00  0.491  4.01E+02 2.39E+02 2.20E+03 8.77E+00 2.44E+01 3.51E+01 3.93E+01 3.76E+01 3.17E+01 2.40E+01 1.65E+01 1.03E+01 5.92E+00 3.12E+00 1.51E+00 6.75E-01 2.78E-01 1.06E-01 3.72E-02 1.21E-02 3.63E-03 1.01E-03 2.60E-04 6.21E-05 1.37E-05 2.81E-06 5.34E-07 9.39E-08 1.53E-08 2.31E-09 3.24E-10 4.22E-11 5.08E-12
   3.25  0.512  5.70E+02 3.38E+02 3.18E+03 1.19E+01 3.31E+01 4.79E+01 5.43E+01 5.26E+01 4.51E+01 3.48E+01 2.45E+01 1.57E+01 9.31E+00 5.07E+00 2.55E+00 1.18E+00 5.09E-01 2.03E-01 7.49E-02 2.57E-02 8.18E-03 2.42E-03 6.63E-04 1.69E-04 4.01E-05 8.83E-06 1.81E-06 3.45E-07 6.11E-08 1.01E-08 1.55E-09 2.20E-10 2.93E-11
   3.50  0.531  8.09E+02 4.78E+02 4.60E+03 1.61E+01 4.50E+01 6.55E+01 7.49E+01 7.34E+01 6.39E+01 5.03E+01 3.61E+01 2.38E+01 1.45E+01 8.11E+00 4.22E+00 2.03E+00 9.10E-01 3.78E-01 1.46E-01 5.27E-02 1.76E-02 5.51E-03 1.60E-03 4.34E-04 1.10E-04 2.59E-05 5.68E-06 1.16E-06 2.23E-07 3.97E-08 6.62E-09 1.03E-09 1.49E-10
   3.75  0.549  1.15E+03 6.76E+02 6.65E+03 2.18E+01 6.13E+01 8.97E+01 1.03E+02 1.02E+02 9.05E+01 7.24E+01 5.30E+01 3.57E+01 2.23E+01 1.28E+01 6.88E+00 3.43E+00 1.59E+00 6.88E-01 2.78E-01 1.05E-01 3.67E-02 1.21E-02 3.70E-03 1.06E-03 2.84E-04 7.12E-05 1.67E-05 3.66E-06 7.50E-07 1.44E-07 2.58E-08 4.34E-09 6.82E-10
   4.00  0.567  1.63E+03 9.57E+02 9.59E+03 2.97E+01 8.37E+01 1.23E+02 1.43E+02 1.43E+02 1.28E+02 1.04E+02 7.73E+01 5.31E+01 3.38E+01 2.00E+01 1.10E+01 5.65E+00 2.70E+00 1.21E+00 5.06E-01 1.98E-01 7.25E-02 2.49E-02 7.98E-03 2.40E-03 6.77E-04 1.79E-04 4.44E-05 1.03E-05 2.25E-06 4.59E-07 8.80E-08 1.58E-08 2.67E-09
   4.25  0.585  2.30E+03 1.35E+03 1.37E+04 4.05E+01 1.14E+02 1.69E+02 1.97E+02 1.99E+02 1.79E+02 1.47E+02 1.11E+02 7.75E+01 5.02E+01 3.02E+01 1.70E+01 8.90E+00 4.37E+00 2.01E+00 8.63E-01 3.48E-01 1.31E-01 4.66E-02 1.55E-02 4.84E-03 1.42E-03 3.91E-04 1.01E-04 2.45E-05 5.60E-06 1.20E-06 2.42E-07 4.58E-08 8.16E-09
   4.50  0.602  3.24E+03 1.88E+03 1.94E+04 5.50E+01 1.56E+02 2.30E+02 2.70E+02 2.74E+02 2.50E+02 2.07E+02 1.58E+02 1.12E+02 7.35E+01 4.50E+01 2.58E+01 1.38E+01 6.92E+00 3.25E+00 1.43E+00 5.94E-01 2.31E-01 8.45E-02 2.90E-02 9.37E-03 2.85E-03 8.14E-04 2.19E-04 5.54E-05 1.32E-05 2.95E-06 6.23E-07 1.24E-07 2.31E-08
   4.75  0.618  4.54E+03 2.60E+03 2.72E+04 7.42E+01 2.10E+02 3.12E+02 3.68E+02 3.76E+02 3.45E+02 2.89E+02 2.23E+02 1.60E+02 1.06E+02 6.62E+01 3.85E+01 2.10E+01 1.08E+01 5.17E+00 2.33E+00 9.91E-01 3.96E-01 1.49E-01 5.27E-02 1.76E-02 5.51E-03 1.63E-03 4.54E-04 1.19E-04 2.95E-05 6.89E-06 1.52E-06 3.15E-07 6.16E-08
   5.00  0.634  6.33E+03 3.58E+03 3.79E+04 9.96E+01 2.83E+02 4.21E+02 4.98E+02 5.12E+02 4.73E+02 3.99E+02 3.11E+02 2.26E+02 1.52E+02 9.61E+01 5.69E+01 3.16E+01 1.65E+01 8.07E+00 3.73E+00 1.62E+00 6.63E-01 2.56E-01 9.30E-02 3.19E-02 1.03E-02 3.15E-03 9.07E-04 2.47E-04 6.33E-05 1.53E-05 3.51E-06 7.58E-07 1.55E-07
   5.50  0.665  1.30E+04 6.66E+03 7.23E+04 1.77E+02 5.03E+02 7.53E+02 8.98E+02 9.33E+02 8.73E+02 7.49E+02 5.94E+02 4.39E+02 3.04E+02 1.97E+02 1.20E+02 6.85E+01 3.70E+01 1.88E+01 9.01E+00 4.08E+00 1.75E+00 7.06E-01 2.70E-01 9.74E-02 3.33E-02 1.07E-02 3.28E-03 9.50E-04 2.60E-04 6.74E-05 1.65E-05 3.84E-06 8.44E-07
   6.00  0.695  2.51E+04 1.21E+04 1.34E+05 3.08E+02 8.79E+02 1.32E+03 1.59E+03 1.66E+03 1.57E+03 1.37E+03 1.10E+03 8.30E+02 5.86E+02 3.88E+02 2.42E+02 1.42E+02 7.91E+01 4.15E+01 2.06E+01 9.66E+00 4.29E+00 1.81E+00 7.21E-01 2.72E-01 9.75E-02 3.31E-02 1.07E-02 3.25E-03 9.42E-04 2.59E-04 6.75E-05 1.67E-05 3.92E-06
   6.50  0.723  4.67E+04 2.16E+04 2.44E+05 5.28E+02 1.51E+03 2.28E+03 2.75E+03 2.91E+03 2.78E+03 2.45E+03 2.00E+03 1.53E+03 1.10E+03 7.42E+02 4.73E+02 2.85E+02 1.62E+02 8.76E+01 4.48E+01 2.17E+01 9.98E+00 4.35E+00 1.80E+00 7.08E-01 2.64E-01 9.38E-02 3.16E-02 1.01E-02 3.08E-03 8.91E-04 2.45E-04 6.41E-05 1.59E-05
   7.00  0.751  8.46E+04 3.79E+04 4.36E+05 8.92E+02 2.55E+03 3.87E+03 4.70E+03 5.00E+03 4.82E+03 4.29E+03 3.55E+03 2.75E+03 2.01E+03 1.38E+03 8.98E+02 5.52E+02 3.22E+02 1.78E+02 9.35E+01 4.66E+01 2.21E+01 9.95E+00 4.26E+00 1.73E+00 6.72E-01 2.48E-01 8.70E-02 2.91E-02 9.25E-03 2.80E-03 8.08E-04 2.22E-04 5.81E-05
   7.50  0.777  1.50E+05 6.52E+04 7.64E+05 1.49E+03 4.26E+03 6.47E+03 7.90E+03 8.46E+03 8.22E+03 7.38E+03 6.18E+03 4.85E+03 3.59E+03 2.51E+03 1.66E+03 1.04E+03 6.20E+02 3.51E+02 1.88E+02 9.64E+01 4.69E+01 2.17E+01 9.59E+00 4.03E+00 1.62E+00 6.17E-01 2.25E-01 7.80E-02 2.58E-02 8.15E-03 2.45E-03 7.05E-04 1.93E-04
   8.00  0.803  2.60E+05 1.11E+05 1.32E+06 2.44E+03 7.01E+03 1.07E+04 1.31E+04 1.41E+04 1.38E+04 1.25E+04 1.06E+04 8.40E+03 6.30E+03 4.46E+03 3.00E+03 1.91E+03 1.16E+03 6.70E+02 3.68E+02 1.93E+02 9.61E+01 4.57E+01 2.07E+01 8.96E+00 3.70E+00 1.46E+00 5.49E-01 1.97E-01 6.77E-02 2.22E-02 6.94E-03 2.08E-03 5.93E-04
   8.50  0.827  4.46E+05 1.85E+05 2.24E+06 3.97E+03 1.14E+04 1.74E+04 2.14E+04 2.32E+04 2.29E+04 2.09E+04 1.78E+04 1.43E+04 1.08E+04 7.79E+03 5.31E+03 3.44E+03 2.12E+03 1.25E+03 6.99E+02 3.74E+02 1.91E+02 9.28E+01 4.31E+01 1.92E+01 8.13E+00 3.30E+00 1.28E+00 4.74E-01 1.68E-01 5.70E-02 1.85E-02 5.74E-03 1.70E-03
   9.00  0.851  7.51E+05 3.06E+05 3.75E+06 6.37E+03 1.83E+04 2.81E+04 3.47E+04 3.77E+04 3.74E+04 3.44E+04 2.96E+04 2.40E+04 1.84E+04 1.34E+04 9.24E+03 6.07E+03 3.81E+03 2.27E+03 1.30E+03 7.07E+02 3.68E+02 1.83E+02 8.70E+01 3.96E+01 1.72E+01 7.18E+00 2.86E+00 1.09E+00 3.99E-01 1.39E-01 4.67E-02 1.50E-02 4.61E-03
   9.50  0.875  1.25E+06 4.99E+05 6.20E+06 1.01E+04 2.92E+04 4.48E+04 5.55E+04 6.06E+04 6.04E+04 5.59E+04 4.85E+04 3.97E+04 3.07E+04 2.26E+04 1.58E+04 1.05E+04 6.69E+03 4.06E+03 2.35E+03 1.31E+03 6.92E+02 3.51E+02 1.71E+02 7.93E+01 3.53E+01 1.51E+01 6.16E+00 2.42E+00 9.07E-01 3.27E-01 1.13E-01 3.73E-02 1.18E-02
  10.00  0.897  2.06E+06 8.06E+05 1.01E+07 1.59E+04 4.60E+04 7.08E+04 8.79E+04 9.64E+04 9.66E+04 9.00E+04 7.86E+04 6.48E+04 5.06E+04 3.76E+04 2.66E+04 1.79E+04 1.16E+04 7.11E+03 4.19E+03 2.36E+03 1.27E+03 6.58E+02 3.26E+02 1.55E+02 7.04E+01 3.07E+01 1.29E+01 5.16E+00 1.99E+00 7.35E-01 2.61E-01 8.88E-02 2.90E-02
  11.00  0.941  6.13E+06 2.04E+06 2.62E+07 3.85E+04 1.11E+05 1.72E+05 2.15E+05 2.37E+05 2.40E+05 2.26E+05 2.00E+05 1.67E+05 1.33E+05 1.00E+05 7.24E+04 4.99E+04 3.29E+04 2.08E+04 1.26E+04 7.30E+03 4.06E+03 2.17E+03 1.11E+03 5.48E+02 2.59E+02 1.18E+02 5.13E+01 2.15E+01 8.68E+00 3.37E+00 1.25E+00 4.49E-01 1.55E-01
  12.00  0.983  1.61E+07 4.97E+06 6.54E+07 8.99E+04 2.60E+05 4.03E+05 5.06E+05 5.63E+05 5.73E+05 5.45E+05 4.88E+05 4.13E+05 3.33E+05 2.56E+05 1.88E+05 1.32E+05 8.89E+04 5.74E+04 3.56E+04 2.12E+04 1.21E+04 6.65E+03 3.52E+03 1.79E+03 8.74E+02 4.11E+02 1.86E+02 8.11E+01 3.40E+01 1.37E+01 5.35E+00 2.00E+00 7.23E-01
  13.00  1.023  3.95E+07 1.17E+07 1.57E+08 2.04E+05 5.91E+05 9.19E+05 1.16E+06 1.30E+06 1.33E+06 1.27E+06 1.15E+06 9.86E+05 8.05E+05 6.27E+05 4.68E+05 3.34E+05 2.29E+05 1.51E+05 9.56E+04 5.82E+04 3.41E+04 1.92E+04 1.04E+04 5.45E+03 2.74E+03 1.33E+03 6.23E+02 2.81E+02 1.22E+02 5.11E+01 2.06E+01 8.04E+00 3.02E+00
  14.00  1.062  9.34E+07 2.69E+07 3.68E+08 4.51E+05 1.31E+06 2.04E+06 2.58E+06 2.90E+06 3.00E+06 2.89E+06 2.64E+06 2.28E+06 1.88E+06 1.49E+06 1.12E+06 8.15E+05 5.68E+05 3.81E+05 2.46E+05 1.53E+05 9.13E+04 5.26E+04 2.92E+04 1.57E+04 8.10E+03 4.04E+03 1.95E+03 9.03E+02 4.05E+02 1.75E+02 7.33E+01 2.96E+01 1.15E+01
  15.00  1.099  2.14E+08 6.01E+07 8.35E+08 9.75E+05 2.83E+06 4.42E+06 5.61E+06 6.34E+06 6.58E+06 6.40E+06 5.88E+06 5.13E+06 4.28E+06 3.42E+06 2.61E+06 1.92E+06 1.36E+06 9.26E+05 6.07E+05 3.84E+05 2.34E+05 1.38E+05 7.82E+04 4.29E+04 2.27E+04 1.16E+04 5.73E+03 2.73E+03 1.26E+03 5.62E+02 2.42E+02 1.01E+02 4.06E+01
  16.00  1.135  4.76E+08 1.31E+08 1.85E+09 2.06E+06 5.99E+06 9.37E+06 1.19E+07 1.35E+07 1.41E+07 1.38E+07 1.28E+07 1.13E+07 9.47E+06 7.64E+06 5.91E+06 4.40E+06 3.15E+06 2.18E+06 1.45E+06 9.32E+05 5.78E+05 3.47E+05 2.01E+05 1.12E+05 6.07E+04 3.17E+04 1.60E+04 7.84E+03 3.71E+03 1.70E+03 7.52E+02 3.22E+02 1.34E+02
  17.00  1.170  1.04E+09 2.80E+08 4.01E+09 4.27E+06 1.24E+07 1.95E+07 2.49E+07 2.83E+07 2.97E+07 2.92E+07 2.72E+07 2.41E+07 2.05E+07 1.67E+07 1.30E+07 9.80E+06 7.11E+06 4.98E+06 3.36E+06 2.19E+06 1.38E+06 8.42E+05 4.96E+05 2.83E+05 1.56E+05 8.31E+04 4.29E+04 2.15E+04 1.04E+04 4.87E+03 2.21E+03 9.73E+02 4.14E+02
  18.00  1.204  2.21E+09 5.86E+08 8.52E+09 8.69E+06 2.53E+07 3.97E+07 5.09E+07 5.81E+07 6.12E+07 6.05E+07 5.67E+07 5.06E+07 4.33E+07 3.55E+07 2.80E+07 2.13E+07 1.56E+07 1.11E+07 7.57E+06 5.01E+06 3.20E+06 1.98E+06 1.19E+06 6.87E+05 3.86E+05 2.10E+05 1.10E+05 5.64E+04 2.79E+04 1.34E+04 6.21E+03 2.80E+03 1.22E+03
  19.00  1.237  4.62E+09 1.20E+09 1.77E+10 1.74E+07 5.07E+07 7.97E+07 1.02E+08 1.17E+08 1.24E+08 1.23E+08 1.16E+08 1.04E+08 8.97E+07 7.42E+07 5.91E+07 4.53E+07 3.36E+07 2.40E+07 1.66E+07 1.11E+07 7.22E+06 4.53E+06 2.75E+06 1.62E+06 9.25E+05 5.11E+05 2.74E+05 1.43E+05 7.19E+04 3.52E+04 1.67E+04 7.68E+03 3.43E+03
  20.00  1.269  9.48E+09 2.43E+09 3.63E+10 3.43E+07 9.99E+07 1.57E+08 2.02E+08 2.32E+08 2.47E+08 2.46E+08 2.33E+08 2.11E+08 1.82E+08 1.52E+08 1.22E+08 9.45E+07 7.07E+07 5.11E+07 3.57E+07 2.42E+07 1.59E+07 1.01E+07 6.22E+06 3.72E+06 2.15E+06 1.21E+06 6.59E+05 3.49E+05 1.79E+05 8.93E+04 4.32E+04 2.03E+04 9.25E+03
  22.50  1.346  7.55E+10 1.32E+10 2.03E+11 1.75E+08 5.13E+08 8.10E+08 1.05E+09 1.21E+09 1.29E+09 1.30E+09 1.25E+09 1.14E+09 1.00E+09 8.50E+08 6.94E+08 5.48E+08 4.18E+08 3.09E+08 2.22E+08 1.54E+08 1.04E+08 6.79E+07 4.31E+07 2.66E+07 1.59E+07 9.26E+06 5.24E+06 2.88E+06 1.54E+06 7.99E+05 4.04E+05 1.98E+05 9.47E+04
  25.00  1.419  4.05E+11 6.59E+10 1.04E+12 8.31E+08 2.43E+09 3.85E+09 5.00E+09 5.81E+09 6.25E+09 6.35E+09 6.14E+09 5.68E+09 5.05E+09 4.34E+09 3.59E+09 2.88E+09 2.24E+09 1.69E+09 1.23E+09 8.76E+08 6.04E+08 4.05E+08 2.64E+08 1.67E+08 1.03E+08 6.17E+07 3.60E+07 2.04E+07 1.13E+07 6.08E+06 3.18E+06 1.62E+06 8.06E+05
  30.00  1.554  1.37E+13 1.33E+12 2.20E+13 1.54E+10 4.51E+10 7.18E+10 9.38E+10 1.10E+11 1.20E+11 1.23E+11 1.21E+11 1.14E+11 1.03E+11 9.05E+10 7.68E+10 6.32E+10 5.05E+10 3.93E+10 2.97E+10 2.18E+10 1.56E+10 1.09E+10 7.38E+09 4.88E+09 3.15E+09 1.98E+09 1.21E+09 7.26E+08 4.24E+08 2.41E+08 1.34E+08 7.26E+07 3.84E+07
  40.00  1.794  5.87E+15 2.93E+14 5.18E+15 2.94E+12 8.63E+12 1.38E+13 1.82E+13 2.16E+13 2.39E+13 2.50E+13 2.51E+13 2.42E+13 2.26E+13 2.04E+13 1.79E+13 1.53E+13 1.27E+13 1.03E+13 8.17E+12 6.31E+12 4.75E+12 3.50E+12 2.52E+12 1.77E+12 1.22E+12 8.20E+11 5.39E+11 3.47E+11 2.19E+11 1.35E+11 8.13E+10 4.80E+10 2.78E+10
  50.00  2.006  7.16E+17 3.55E+16 6.63E+17 3.19E+14 9.40E+14 1.51E+15 2.00E+15 2.40E+15 2.68E+15 2.84E+15 2.89E+15 2.84E+15 2.70E+15 2.49E+15 2.24E+15 1.96E+15 1.67E+15 1.40E+15 1.14E+15 9.11E+14 7.11E+14 5.44E+14 4.07E+14 2.99E+14 2.15E+14 1.51E+14 1.04E+14 7.07E+13 4.70E+13 3.06E+13 1.95E+13 1.22E+13 7.51E+12
  60.00  2.198  5.68E+19 2.81E+18 5.47E+19 2.30E+16 6.79E+16 1.10E+17 1.46E+17 1.76E+17 1.98E+17 2.12E+17 2.18E+17 2.17E+17 2.09E+17 1.96E+17 1.79E+17 1.60E+17 1.39E+17 1.19E+17 9.92E+16 8.12E+16 6.51E+16 5.12E+16 3.95E+16 2.99E+16 2.22E+16 1.62E+16 1.16E+16 8.14E+15 5.61E+15 3.81E+15 2.53E+15 1.66E+15 1.06E+15
  70.00  2.374  3.25E+21 1.60E+20 3.23E+21 1.21E+18 3.58E+18 5.79E+18 7.75E+18 9.37E+18 1.06E+19 1.14E+19 1.19E+19 1.19E+19 1.16E+19 1.10E+19 1.02E+19 9.24E+18 8.19E+18 7.11E+18 6.05E+18 5.04E+18 4.13E+18 3.32E+18 2.62E+18 2.03E+18 1.55E+18 1.16E+18 8.52E+17 6.16E+17 4.38E+17 3.06E+17 2.11E+17 1.43E+17 9.49E+16
  80.00  2.538  1.43E+23 6.98E+21 1.46E+23 4.96E+19 1.47E+20 2.38E+20 3.19E+20 3.87E+20 4.41E+20 4.78E+20 4.99E+20 5.05E+20 4.96E+20 4.76E+20 4.46E+20 4.08E+20 3.66E+20 3.22E+20 2.78E+20 2.36E+20 1.96E+20 1.60E+20 1.29E+20 1.02E+20 7.93E+19 6.06E+19 4.56E+19 3.38E+19 2.46E+19 1.77E+19 1.25E+19 8.68E+18 5.94E+18
  90.00  2.692  5.05E+24 2.46E+23 5.27E+24 1.65E+21 4.88E+21 7.91E+21 1.06E+22 1.30E+22 1.48E+22 1.62E+22 1.70E+22 1.73E+22 1.71E+22 1.65E+22 1.56E+22 1.44E+22 1.31E+22 1.16E+22 1.02E+22 8.74E+21 7.37E+21 6.12E+21 5.00E+21 4.01E+21 3.17E+21 2.47E+21 1.89E+21 1.43E+21 1.06E+21 7.80E+20 5.63E+20 4.00E+20 2.81E+20
 100.00  2.837  1.49E+26 7.20E+24 1.58E+26 4.59E+22 1.36E+23 2.21E+23 2.97E+23 3.63E+23 4.17E+23 4.56E+23 4.81E+23 4.93E+23 4.91E+23 4.77E+23 4.54E+23 4.24E+23 3.88E+23 3.48E+23 3.08E+23 2.67E+23 2.28E+23 1.92E+23 1.58E+23 1.29E+23 1.04E+23 8.18E+22 6.37E+22 4.89E+22 3.70E+22 2.76E+22 2.03E+22 1.47E+22 1.05E+22
 110.00  2.976  3.76E+27 1.81E+26 4.05E+27 1.10E+24 3.25E+24 5.29E+24 7.14E+24 8.74E+24 1.01E+25 1.10E+25 1.17E+25 1.20E+25 1.21E+25 1.18E+25 1.13E+25 1.06E+25 9.79E+24 8.86E+24 7.89E+24 6.92E+24 5.97E+24 5.07E+24 4.24E+24 3.49E+24 2.84E+24 2.27E+24 1.79E+24 1.40E+24 1.07E+24 8.12E+23 6.07E+23 4.47E+23 3.25E+23
 120.00  3.108  8.27E+28 3.95E+27 9.03E+28 2.30E+25 6.81E+25 1.11E+26 1.50E+26 1.84E+26 2.12E+26 2.34E+26 2.49E+26 2.57E+26 2.58E+26 2.54E+26 2.45E+26 2.31E+26 2.15E+26 1.96E+26 1.76E+26 1.55E+26 1.35E+26 1.16E+26 9.79E+25 8.15E+25 6.69E+25 5.42E+25 4.33E+25 3.41E+25 2.65E+25 2.04E+25 1.54E+25 1.15E+25 8.52E+24
 130.00  3.235  1.61E+30 7.65E+28 1.78E+30 4.28E+26 1.27E+27 2.07E+27 2.80E+27 3.44E+27 3.98E+27 4.40E+27 4.69E+27 4.86E+27 4.91E+27 4.85E+27 4.70E+27 4.47E+27 4.17E+27 3.83E+27 3.46E+27 3.08E+27 2.70E+27 2.33E+27 1.99E+27 1.67E+27 1.39E+27 1.13E+27 9.15E+26 7.29E+26 5.74E+26 4.45E+26 3.42E+26 2.59E+26 1.94E+26
 140.00  3.357  2.83E+31 1.33E+30 3.15E+31 7.18E+27 2.13E+28 3.48E+28 4.71E+28 5.80E+28 6.72E+28 7.45E+28 7.97E+28 8.28E+28 8.40E+28 8.33E+28 8.11E+28 7.74E+28 7.27E+28 6.71E+28 6.10E+28 5.46E+28 4.82E+28 4.20E+28 3.61E+28 3.05E+28 2.55E+28 2.11E+28 1.72E+28 1.38E+28 1.10E+28 8.62E+27 6.69E+27 5.12E+27 3.88E+27
 150.00  3.475  4.50E+32 2.11E+31 5.05E+32 1.10E+29 3.26E+29 5.32E+29 7.22E+29 8.91E+29 1.03E+30 1.15E+30 1.23E+30 1.28E+30 1.31E+30 1.30E+30 1.27E+30 1.22E+30 1.15E+30 1.07E+30 9.74E+29 8.78E+29 7.80E+29 6.83E+29 5.91E+29 5.04E+29 4.25E+29 3.53E+29 2.90E+29 2.36E+29 1.89E+29 1.50E+29 1.17E+29 9.08E+28 6.95E+28
 160.00  3.589  6.57E+33 3.06E+32 7.42E+33 1.54E+30 4.58E+30 7.48E+30 1.02E+31 1.26E+31 1.46E+31 1.62E+31 1.74E+31 1.82E+31 1.86E+31 1.86E+31 1.82E+31 1.75E+31 1.66E+31 1.55E+31 1.42E+31 1.29E+31 1.15E+31 1.02E+31 8.83E+30 7.59E+30 6.44E+30 5.40E+30 4.47E+30 3.66E+30 2.96E+30 2.36E+30 1.87E+30 1.46E+30 1.13E+30
 170.00  3.699  8.86E+34 4.10E+33 1.01E+35 2.01E+31 5.96E+31 9.74E+31 1.32E+32 1.64E+32 1.90E+32 2.12E+32 2.29E+32 2.40E+32 2.45E+32 2.46E+32 2.42E+32 2.34E+32 2.22E+32 2.08E+32 1.92E+32 1.75E+32 1.57E+32 1.39E+32 1.22E+32 1.05E+32 8.97E+31 7.57E+31 6.31E+31 5.20E+31 4.24E+31 3.41E+31 2.72E+31 2.14E+31 1.67E+31
