                    ************************************************************************************************
                    *  Z= 24 A= 54: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 54 and ldmodel= 2  *
   2.25  0.643  3.69E+00 1.94E+00 1.25E+01 1.44E-01 3.71E-01 4.56E-01 4.06E-01 2.85E-01 1.63E-01 7.79E-02 3.12E-02 1.05E-02 3.02E-03 7.34E-04 1.52E-04 2.69E-05 4.07E-06 5.26E-07 5.81E-08 5.50E-09 4.45E-10 3.09E-11 1.84E-12 9.38E-14 4.10E-15 1.54E-16 4.95E-18 1.37E-19 3.24E-21 6.60E-23 1.15E-24 1.73E-26 2.22E-28
   2.50  0.678  4.94E+00 2.50E+00 1.61E+01 1.86E-01 4.79E-01 5.89E-01 5.24E-01 3.68E-01 2.11E-01 1.01E-01 4.03E-02 1.36E-02 3.90E-03 9.49E-04 1.97E-04 3.48E-05 5.26E-06 6.79E-07 7.51E-08 7.10E-09 5.75E-10 3.99E-11 2.38E-12 1.21E-13 5.30E-15 1.99E-16 6.40E-18 1.77E-19 4.19E-21 8.52E-23 1.49E-24 2.23E-26 2.87E-28
   2.75  0.711  6.54E+00 3.21E+00 2.07E+01 2.38E-01 6.15E-01 7.57E-01 6.73E-01 4.72E-01 2.71E-01 1.29E-01 5.17E-02 1.75E-02 5.00E-03 1.22E-03 2.53E-04 4.47E-05 6.75E-06 8.72E-07 9.64E-08 9.12E-09 7.38E-10 5.13E-11 3.05E-12 1.56E-13 6.80E-15 2.55E-16 8.22E-18 2.27E-19 5.38E-21 1.09E-22 1.91E-24 2.86E-26 3.68E-28
   3.00  0.743  8.59E+00 4.10E+00 2.64E+01 3.04E-01 7.84E-01 9.66E-01 8.59E-01 6.03E-01 3.46E-01 1.65E-01 6.60E-02 2.23E-02 6.38E-03 1.55E-03 3.22E-04 5.70E-05 8.62E-06 1.11E-06 1.23E-07 1.16E-08 9.43E-10 6.54E-11 3.89E-12 1.99E-13 8.68E-15 3.26E-16 1.05E-17 2.90E-19 6.86E-21 1.40E-22 2.44E-24 3.65E-26 4.70E-28
   3.25  0.773  1.12E+01 5.20E+00 3.35E+01 3.86E-01 9.95E-01 1.23E+00 1.09E+00 7.65E-01 4.39E-01 2.09E-01 8.37E-02 2.83E-02 8.10E-03 1.97E-03 4.09E-04 7.24E-05 1.09E-05 1.41E-06 1.56E-07 1.48E-08 1.20E-09 8.30E-11 4.94E-12 2.52E-13 1.10E-14 4.13E-16 1.33E-17 3.68E-19 8.71E-21 1.77E-22 3.09E-24 4.64E-26 5.97E-28
   3.50  0.802  1.44E+01 6.46E+00 4.23E+01 4.66E-01 1.21E+00 1.50E+00 1.35E+00 9.66E-01 5.67E-01 2.78E-01 1.15E-01 4.03E-02 1.20E-02 3.06E-03 6.68E-04 1.25E-04 2.00E-05 2.76E-06 3.27E-07 3.33E-08 2.91E-09 2.20E-10 1.43E-11 7.98E-13 3.84E-14 1.59E-15 5.71E-17 1.76E-18 4.68E-20 1.07E-21 2.12E-23 3.61E-25 5.31E-27
   3.75  0.830  1.84E+01 7.96E+00 5.31E+01 5.51E-01 1.44E+00 1.81E+00 1.66E+00 1.21E+00 7.32E-01 3.71E-01 1.60E-01 5.86E-02 1.84E-02 4.98E-03 1.16E-03 2.32E-04 4.00E-05 5.98E-06 7.72E-07 8.62E-08 8.32E-09 6.96E-10 5.04E-11 3.16E-12 1.72E-13 8.10E-15 3.31E-16 1.17E-17 3.60E-19 9.58E-21 2.21E-22 4.43E-24 7.69E-26
   4.00  0.858  2.33E+01 9.76E+00 6.64E+01 6.50E-01 1.70E+00 2.17E+00 2.02E+00 1.51E+00 9.36E-01 4.90E-01 2.19E-01 8.38E-02 2.76E-02 7.87E-03 1.94E-03 4.14E-04 7.67E-05 1.23E-05 1.73E-06 2.10E-07 2.22E-08 2.04E-09 1.64E-10 1.14E-11 6.94E-13 3.68E-14 1.70E-15 6.83E-17 2.39E-18 7.32E-20 1.95E-21 4.54E-23 9.20E-25
   4.25  0.884  2.92E+01 1.19E+01 8.26E+01 7.66E-01 2.02E+00 2.59E+00 2.45E+00 1.87E+00 1.19E+00 6.40E-01 2.96E-01 1.18E-01 4.07E-02 1.22E-02 3.16E-03 7.17E-04 1.42E-04 2.44E-05 3.67E-06 4.83E-07 5.56E-08 5.59E-09 4.92E-10 3.79E-11 2.56E-12 1.51E-13 7.80E-15 3.53E-16 1.40E-17 4.87E-19 1.48E-20 3.96E-22 9.27E-24
   4.50  0.910  3.65E+01 1.45E+01 1.02E+02 9.00E-01 2.38E+00 3.08E+00 2.96E+00 2.30E+00 1.49E+00 8.29E-01 3.95E-01 1.63E-01 5.87E-02 1.84E-02 5.03E-03 1.20E-03 2.53E-04 4.64E-05 7.49E-06 1.06E-06 1.32E-07 1.44E-08 1.38E-09 1.17E-10 8.67E-12 5.66E-13 3.25E-14 1.64E-15 7.32E-17 2.87E-18 9.88E-20 3.00E-21 8.02E-23
   4.75  0.935  4.53E+01 1.76E+01 1.26E+02 1.06E+00 2.80E+00 3.66E+00 3.56E+00 2.81E+00 1.87E+00 1.06E+00 5.23E-01 2.24E-01 8.35E-02 2.73E-02 7.83E-03 1.97E-03 4.37E-04 8.53E-05 1.47E-05 2.22E-06 2.97E-07 3.51E-08 3.65E-09 3.36E-10 2.73E-11 1.96E-12 1.24E-13 6.96E-15 3.45E-16 1.51E-17 5.84E-19 2.00E-20 6.04E-22
   5.00  0.959  5.59E+01 2.13E+01 1.55E+02 1.23E+00 3.29E+00 4.34E+00 4.26E+00 3.42E+00 2.32E+00 1.35E+00 6.84E-01 3.02E-01 1.17E-01 3.98E-02 1.19E-02 3.15E-03 7.36E-04 1.52E-04 2.77E-05 4.48E-06 6.41E-07 8.13E-08 9.14E-09 9.10E-10 8.04E-11 6.30E-12 4.38E-13 2.70E-14 1.48E-15 7.18E-17 3.09E-18 1.18E-19 4.02E-21
   5.50  1.006  8.67E+01 3.08E+01 2.32E+02 1.68E+00 4.51E+00 6.03E+00 6.06E+00 5.01E+00 3.52E+00 2.14E+00 1.14E+00 5.34E-01 2.20E-01 8.07E-02 2.62E-02 7.55E-03 1.94E-03 4.43E-04 9.01E-05 1.63E-05 2.65E-06 3.82E-07 4.93E-08 5.68E-09 5.85E-10 5.37E-11 4.41E-12 3.24E-13 2.12E-14 1.25E-15 6.53E-17 3.06E-18 1.28E-19
   6.00  1.050  1.31E+02 4.41E+01 3.43E+02 2.27E+00 6.13E+00 8.30E+00 8.50E+00 7.21E+00 5.23E+00 3.31E+00 1.84E+00 9.08E-01 3.97E-01 1.55E-01 5.40E-02 1.68E-02 4.69E-03 1.17E-03 2.63E-04 5.28E-05 9.54E-06 1.55E-06 2.25E-07 2.95E-08 3.47E-09 3.68E-10 3.50E-11 3.00E-12 2.31E-13 1.60E-14 9.96E-16 5.59E-17 2.82E-18
   6.50  1.093  1.93E+02 6.26E+01 5.00E+02 3.04E+00 8.28E+00 1.13E+01 1.18E+01 1.02E+01 7.65E+00 5.01E+00 2.90E+00 1.50E+00 6.89E-01 2.85E-01 1.06E-01 3.52E-02 1.06E-02 2.86E-03 6.99E-04 1.54E-04 3.06E-05 5.51E-06 8.94E-07 1.31E-07 1.74E-08 2.09E-09 2.27E-10 2.23E-11 1.98E-12 1.59E-13 1.16E-14 7.62E-16 4.54E-17
   7.00  1.135  2.81E+02 8.80E+01 7.22E+02 4.06E+00 1.11E+01 1.53E+01 1.62E+01 1.44E+01 1.10E+01 7.43E+00 4.46E+00 2.40E+00 1.16E+00 5.03E-01 1.97E-01 7.00E-02 2.25E-02 6.53E-03 1.72E-03 4.12E-04 8.94E-05 1.76E-05 3.15E-06 5.12E-07 7.57E-08 1.02E-08 1.24E-09 1.38E-10 1.39E-11 1.28E-12 1.07E-13 8.11E-15 5.60E-16
   7.50  1.174  4.04E+02 1.23E+02 1.03E+03 5.38E+00 1.48E+01 2.06E+01 2.21E+01 1.99E+01 1.56E+01 1.08E+01 6.73E+00 3.75E+00 1.89E+00 8.58E-01 3.54E-01 1.33E-01 4.53E-02 1.40E-02 3.97E-03 1.02E-03 2.40E-04 5.13E-05 1.00E-05 1.79E-06 2.91E-07 4.33E-08 5.87E-09 7.28E-10 8.25E-11 8.54E-12 8.08E-13 6.98E-14 5.52E-15
   8.00  1.213  5.73E+02 1.69E+02 1.46E+03 7.09E+00 1.95E+01 2.75E+01 2.99E+01 2.74E+01 2.19E+01 1.56E+01 9.97E+00 5.74E+00 3.00E+00 1.42E+00 6.15E-01 2.42E-01 8.73E-02 2.87E-02 8.63E-03 2.38E-03 5.99E-04 1.38E-04 2.92E-05 5.67E-06 1.01E-06 1.64E-07 2.45E-08 3.36E-09 4.23E-10 4.88E-11 5.16E-12 5.02E-13 4.47E-14
   8.50  1.250  8.06E+02 2.33E+02 2.05E+03 9.29E+00 2.57E+01 3.65E+01 4.01E+01 3.73E+01 3.04E+01 2.22E+01 1.45E+01 8.64E+00 4.67E+00 2.30E+00 1.04E+00 4.28E-01 1.62E-01 5.61E-02 1.79E-02 5.22E-03 1.40E-03 3.47E-04 7.89E-05 1.65E-05 3.18E-06 5.63E-07 9.18E-08 1.38E-08 1.91E-09 2.43E-10 2.85E-11 3.08E-12 3.07E-13
   9.00  1.286  1.12E+03 3.17E+02 2.86E+03 1.21E+01 3.37E+01 4.81E+01 5.34E+01 5.04E+01 4.19E+01 3.11E+01 2.09E+01 1.28E+01 7.12E+00 3.63E+00 1.70E+00 7.32E-01 2.90E-01 1.05E-01 3.54E-02 1.09E-02 3.12E-03 8.21E-04 1.99E-04 4.47E-05 9.25E-06 1.77E-06 3.12E-07 5.10E-08 7.69E-09 1.07E-09 1.38E-10 1.65E-11 1.81E-12
   9.50  1.322  1.55E+03 4.29E+02 3.95E+03 1.58E+01 4.39E+01 6.31E+01 7.07E+01 6.76E+01 5.71E+01 4.32E+01 2.97E+01 1.86E+01 1.07E+01 5.63E+00 2.73E+00 1.22E+00 5.03E-01 1.91E-01 6.74E-02 2.19E-02 6.60E-03 1.84E-03 4.74E-04 1.13E-04 2.51E-05 5.15E-06 9.78E-07 1.72E-07 2.82E-08 4.27E-09 5.99E-10 7.80E-11 9.42E-12
  10.00  1.356  2.13E+03 5.80E+02 5.43E+03 2.06E+01 5.76E+01 8.31E+01 9.39E+01 9.06E+01 7.74E+01 5.95E+01 4.16E+01 2.65E+01 1.56E+01 8.40E+00 4.18E+00 1.92E+00 8.18E-01 3.22E-01 1.17E-01 3.97E-02 1.25E-02 3.62E-03 9.79E-04 2.45E-04 5.71E-05 1.23E-05 2.48E-06 4.63E-07 8.03E-08 1.29E-08 1.94E-09 2.70E-10 3.50E-11
  11.00  1.422  4.23E+03 1.05E+03 1.01E+04 3.55E+01 9.94E+01 1.44E+02 1.65E+02 1.61E+02 1.40E+02 1.10E+02 7.88E+01 5.18E+01 3.13E+01 1.75E+01 9.06E+00 4.34E+00 1.93E+00 8.00E-01 3.07E-01 1.10E-01 3.66E-02 1.13E-02 3.27E-03 8.79E-04 2.20E-04 5.14E-05 1.12E-05 2.27E-06 4.30E-07 7.59E-08 1.25E-08 1.92E-09 2.75E-10
  12.00  1.485  7.95E+03 1.86E+03 1.82E+04 6.00E+01 1.69E+02 2.47E+02 2.84E+02 2.82E+02 2.49E+02 1.99E+02 1.45E+02 9.78E+01 6.08E+01 3.50E+01 1.87E+01 9.32E+00 4.31E+00 1.86E+00 7.49E-01 2.81E-01 9.85E-02 3.22E-02 9.85E-03 2.81E-03 7.51E-04 1.87E-04 4.38E-05 9.55E-06 1.95E-06 3.72E-07 6.66E-08 1.11E-08 1.74E-09
  13.00  1.546  1.44E+04 3.23E+03 3.24E+04 1.00E+02 2.82E+02 4.15E+02 4.82E+02 4.83E+02 4.32E+02 3.51E+02 2.61E+02 1.80E+02 1.14E+02 6.77E+01 3.73E+01 1.91E+01 9.17E+00 4.11E+00 1.72E+00 6.74E-01 2.47E-01 8.48E-02 2.73E-02 8.21E-03 2.32E-03 6.14E-04 1.52E-04 3.54E-05 7.73E-06 1.58E-06 3.04E-07 5.48E-08 9.26E-09
  14.00  1.604  2.55E+04 5.53E+03 5.65E+04 1.65E+02 4.66E+02 6.89E+02 8.05E+02 8.14E+02 7.36E+02 6.07E+02 4.59E+02 3.22E+02 2.09E+02 1.27E+02 7.17E+01 3.79E+01 1.87E+01 8.67E+00 3.76E+00 1.53E+00 5.84E-01 2.09E-01 7.03E-02 2.22E-02 6.59E-03 1.84E-03 4.81E-04 1.19E-04 2.74E-05 5.97E-06 1.22E-06 2.35E-07 4.26E-08
  15.00  1.661  4.41E+04 9.31E+03 9.69E+04 2.68E+02 7.59E+02 1.13E+03 1.33E+03 1.35E+03 1.24E+03 1.03E+03 7.93E+02 5.65E+02 3.75E+02 2.32E+02 1.34E+02 7.27E+01 3.69E+01 1.76E+01 7.88E+00 3.32E+00 1.31E+00 4.88E-01 1.71E-01 5.63E-02 1.75E-02 5.10E-03 1.40E-03 3.64E-04 8.88E-05 2.04E-05 4.42E-06 9.03E-07 1.74E-07
  16.00  1.715  7.51E+04 1.55E+04 1.64E+05 4.31E+02 1.22E+03 1.82E+03 2.16E+03 2.21E+03 2.04E+03 1.73E+03 1.34E+03 9.73E+02 6.56E+02 4.14E+02 2.45E+02 1.36E+02 7.06E+01 3.46E+01 1.59E+01 6.91E+00 2.82E+00 1.09E+00 3.95E-01 1.35E-01 4.36E-02 1.33E-02 3.82E-03 1.04E-03 2.65E-04 6.41E-05 1.46E-05 3.15E-06 6.41E-07
  17.00  1.768  1.26E+05 2.54E+04 2.73E+05 6.86E+02 1.95E+03 2.91E+03 3.46E+03 3.58E+03 3.34E+03 2.85E+03 2.24E+03 1.65E+03 1.13E+03 7.24E+02 4.36E+02 2.47E+02 1.31E+02 6.60E+01 3.12E+01 1.39E+01 5.86E+00 2.33E+00 8.73E-01 3.09E-01 1.04E-01 3.28E-02 9.80E-03 2.77E-03 7.41E-04 1.87E-04 4.48E-05 1.01E-05 2.17E-06
  18.00  1.819  2.08E+05 4.12E+04 4.49E+05 1.08E+03 3.07E+03 4.61E+03 5.51E+03 5.73E+03 5.38E+03 4.63E+03 3.69E+03 2.74E+03 1.91E+03 1.24E+03 7.62E+02 4.40E+02 2.39E+02 1.23E+02 5.94E+01 2.72E+01 1.17E+01 4.80E+00 1.86E+00 6.79E-01 2.35E-01 7.70E-02 2.39E-02 7.02E-03 1.95E-03 5.14E-04 1.28E-04 3.03E-05 6.79E-06
  19.00  1.869  3.40E+05 6.60E+04 7.31E+05 1.68E+03 4.80E+03 7.22E+03 8.67E+03 9.07E+03 8.58E+03 7.45E+03 6.00E+03 4.51E+03 3.18E+03 2.10E+03 1.31E+03 7.68E+02 4.26E+02 2.23E+02 1.10E+02 5.16E+01 2.29E+01 9.60E+00 3.82E+00 1.44E+00 5.13E-01 1.73E-01 5.56E-02 1.69E-02 4.88E-03 1.34E-03 3.46E-04 8.53E-05 1.99E-05
  20.00  1.918  5.50E+05 1.05E+05 1.18E+06 2.60E+03 7.43E+03 1.12E+04 1.35E+04 1.42E+04 1.35E+04 1.18E+04 9.64E+03 7.32E+03 5.22E+03 3.50E+03 2.21E+03 1.32E+03 7.43E+02 3.97E+02 2.00E+02 9.58E+01 4.34E+01 1.87E+01 7.61E+00 2.94E+00 1.08E+00 3.76E-01 1.25E-01 3.91E-02 1.17E-02 3.30E-03 8.89E-04 2.27E-04 5.52E-05
  22.50  2.034  2.15E+06 3.20E+05 3.69E+06 7.47E+03 2.14E+04 3.24E+04 3.94E+04 4.20E+04 4.06E+04 3.62E+04 3.00E+04 2.34E+04 1.71E+04 1.18E+04 7.70E+03 4.76E+03 2.79E+03 1.55E+03 8.18E+02 4.10E+02 1.95E+02 8.86E+01 3.82E+01 1.57E+01 6.11E+00 2.27E+00 8.04E-01 2.71E-01 8.70E-02 2.66E-02 7.75E-03 2.15E-03 5.69E-04
  25.00  2.144  6.77E+06 9.25E+05 1.10E+07 2.05E+04 5.88E+04 8.97E+04 1.10E+05 1.18E+05 1.16E+05 1.04E+05 8.83E+04 7.00E+04 5.24E+04 3.71E+04 2.49E+04 1.58E+04 9.58E+03 5.51E+03 3.02E+03 1.58E+03 7.83E+02 3.71E+02 1.68E+02 7.23E+01 2.97E+01 1.17E+01 4.37E+00 1.56E+00 5.34E-01 1.74E-01 5.42E-02 1.61E-02 4.58E-03
  30.00  2.349  7.48E+07 6.81E+06 8.47E+07 1.37E+05 3.96E+05 6.09E+05 7.54E+05 8.24E+05 8.23E+05 7.62E+05 6.62E+05 5.42E+05 4.20E+05 3.09E+05 2.17E+05 1.45E+05 9.22E+04 5.61E+04 3.26E+04 1.81E+04 9.64E+03 4.91E+03 2.39E+03 1.12E+03 4.99E+02 2.14E+02 8.78E+01 3.45E+01 1.30E+01 4.71E+00 1.63E+00 5.43E-01 1.73E-01
  40.00  2.712  5.03E+09 2.48E+08 3.32E+09 4.32E+06 1.25E+07 1.95E+07 2.45E+07 2.74E+07 2.81E+07 2.69E+07 2.43E+07 2.08E+07 1.70E+07 1.32E+07 9.83E+06 7.01E+06 4.80E+06 3.16E+06 1.99E+06 1.21E+06 7.08E+05 3.98E+05 2.15E+05 1.12E+05 5.64E+04 2.73E+04 1.27E+04 5.72E+03 2.48E+03 1.03E+03 4.17E+02 1.62E+02 6.06E+01
  50.00  3.032  1.27E+11 6.12E+09 8.67E+10 9.55E+07 2.78E+08 4.35E+08 5.54E+08 6.28E+08 6.57E+08 6.43E+08 5.96E+08 5.26E+08 4.43E+08 3.58E+08 2.78E+08 2.08E+08 1.49E+08 1.03E+08 6.91E+07 4.46E+07 2.78E+07 1.67E+07 9.72E+06 5.46E+06 2.97E+06 1.56E+06 7.93E+05 3.90E+05 1.86E+05 8.54E+04 3.81E+04 1.64E+04 6.85E+03
  60.00  3.322  2.41E+12 1.14E+11 1.69E+12 1.62E+09 4.73E+09 7.45E+09 9.58E+09 1.10E+10 1.16E+10 1.16E+10 1.10E+10 9.88E+09 8.54E+09 7.09E+09 5.68E+09 4.38E+09 3.26E+09 2.35E+09 1.64E+09 1.10E+09 7.21E+08 4.56E+08 2.79E+08 1.66E+08 9.55E+07 5.34E+07 2.89E+07 1.52E+07 7.74E+06 3.83E+06 1.84E+06 8.57E+05 3.88E+05
  70.00  3.588  3.67E+13 1.71E+12 2.64E+13 2.26E+10 6.59E+10 1.04E+11 1.35E+11 1.56E+11 1.67E+11 1.68E+11 1.62E+11 1.48E+11 1.31E+11 1.11E+11 9.08E+10 7.19E+10 5.51E+10 4.09E+10 2.94E+10 2.05E+10 1.39E+10 9.13E+09 5.82E+09 3.61E+09 2.18E+09 1.27E+09 7.24E+08 4.01E+08 2.16E+08 1.13E+08 5.73E+07 2.84E+07 1.37E+07
  80.00  3.835  4.69E+14 2.16E+13 3.45E+14 2.66E+11 7.78E+11 1.23E+12 1.61E+12 1.87E+12 2.02E+12 2.06E+12 2.00E+12 1.86E+12 1.66E+12 1.44E+12 1.20E+12 9.69E+11 7.59E+11 5.77E+11 4.26E+11 3.06E+11 2.13E+11 1.44E+11 9.52E+10 6.11E+10 3.82E+10 2.32E+10 1.37E+10 7.92E+09 4.45E+09 2.43E+09 1.30E+09 6.73E+08 3.40E+08
  90.00  4.068  5.19E+15 2.36E+14 3.88E+15 2.74E+12 8.02E+12 1.28E+13 1.67E+13 1.95E+13 2.12E+13 2.18E+13 2.14E+13 2.01E+13 1.83E+13 1.60E+13 1.36E+13 1.11E+13 8.90E+12 6.90E+12 5.20E+12 3.82E+12 2.73E+12 1.90E+12 1.28E+12 8.48E+11 5.46E+11 3.42E+11 2.09E+11 1.25E+11 7.27E+10 4.13E+10 2.28E+10 1.23E+10 6.51E+09
 100.00  4.288  5.08E+16 2.28E+15 3.85E+16 2.51E+13 7.37E+13 1.18E+14 1.54E+14 1.81E+14 1.98E+14 2.05E+14 2.03E+14 1.93E+14 1.77E+14 1.57E+14 1.35E+14 1.12E+14 9.11E+13 7.18E+13 5.51E+13 4.12E+13 3.01E+13 2.14E+13 1.48E+13 1.00E+13 6.61E+12 4.26E+12 2.68E+12 1.64E+12 9.86E+11 5.77E+11 3.30E+11 1.84E+11 1.01E+11
 110.00  4.497  4.49E+17 1.99E+16 3.44E+17 2.09E+14 6.13E+14 9.79E+14 1.29E+15 1.52E+15 1.67E+15 1.74E+15 1.74E+15 1.66E+15 1.54E+15 1.38E+15 1.20E+15 1.01E+15 8.31E+14 6.65E+14 5.19E+14 3.94E+14 2.93E+14 2.12E+14 1.50E+14 1.03E+14 6.97E+13 4.59E+13 2.96E+13 1.86E+13 1.15E+13 6.89E+12 4.05E+12 2.33E+12 1.31E+12
 120.00  4.697  3.61E+18 1.58E+17 2.80E+18 1.59E+15 4.67E+15 7.48E+15 9.86E+15 1.17E+16 1.29E+16 1.35E+16 1.36E+16 1.31E+16 1.22E+16 1.10E+16 9.68E+15 8.27E+15 6.87E+15 5.57E+15 4.40E+15 3.40E+15 2.56E+15 1.88E+15 1.35E+15 9.51E+14 6.54E+14 4.40E+14 2.89E+14 1.86E+14 1.17E+14 7.20E+13 4.34E+13 2.56E+13 1.48E+13
 130.00  4.889  2.69E+19 1.16E+18 2.10E+19 1.12E+16 3.30E+16 5.29E+16 6.99E+16 8.32E+16 9.23E+16 9.71E+16 9.79E+16 9.50E+16 8.93E+16 8.13E+16 7.20E+16 6.21E+16 5.21E+16 4.27E+16 3.42E+16 2.67E+16 2.04E+16 1.52E+16 1.11E+16 7.93E+15 5.54E+15 3.79E+15 2.54E+15 1.66E+15 1.07E+15 6.72E+14 4.13E+14 2.49E+14 1.47E+14
 140.00  5.074  1.86E+20 7.95E+18 1.46E+20 7.39E+16 2.18E+17 3.49E+17 4.63E+17 5.52E+17 6.15E+17 6.50E+17 6.58E+17 6.42E+17 6.07E+17 5.57E+17 4.97E+17 4.32E+17 3.66E+17 3.03E+17 2.45E+17 1.94E+17 1.50E+17 1.13E+17 8.37E+16 6.06E+16 4.30E+16 2.99E+16 2.03E+16 1.36E+16 8.86E+15 5.67E+15 3.56E+15 2.19E+15 1.32E+15
 150.00  5.252  1.21E+21 5.10E+19 9.53E+20 4.58E+17 1.35E+18 2.17E+18 2.88E+18 3.44E+18 3.85E+18 4.08E+18 4.15E+18 4.07E+18 3.87E+18 3.58E+18 3.21E+18 2.81E+18 2.41E+18 2.01E+18 1.64E+18 1.31E+18 1.02E+18 7.81E+17 5.85E+17 4.29E+17 3.09E+17 2.17E+17 1.50E+17 1.02E+17 6.75E+16 4.39E+16 2.80E+16 1.76E+16 1.08E+16
 160.00  5.424  7.38E+21 3.09E+20 5.86E+21 2.68E+18 7.91E+18 1.27E+19 1.69E+19 2.03E+19 2.27E+19 2.42E+19 2.47E+19 2.44E+19 2.33E+19 2.16E+19 1.96E+19 1.72E+19 1.49E+19 1.25E+19 1.03E+19 8.29E+18 6.54E+18 5.05E+18 3.83E+18 2.84E+18 2.07E+18 1.47E+18 1.03E+18 7.08E+17 4.76E+17 3.15E+17 2.04E+17 1.30E+17 8.11E+16
 170.00  5.591  4.29E+22 1.77E+21 3.42E+22 1.50E+19 4.41E+19 7.11E+19 9.46E+19 1.14E+20 1.28E+20 1.36E+20 1.40E+20 1.38E+20 1.33E+20 1.24E+20 1.13E+20 1.00E+20 8.68E+19 7.36E+19 6.10E+19 4.96E+19 3.95E+19 3.08E+19 2.35E+19 1.76E+19 1.30E+19 9.37E+18 6.63E+18 4.61E+18 3.15E+18 2.11E+18 1.39E+18 8.95E+17 5.67E+17
